Welcome	UH
,	,
which	WDT
are	VBP
the	DT
poets	NNS
,	,
depend	VBP
others	NNS
,	,
some	DT
deriving	VBG
their	PRP$
inspiration	NN
from	IN
Orpheus	NNP
,	,
others	NNS
from	IN
Musaeus	NNP
;	:
but	CC
the	DT
greater	JJR
number	NN
are	VBP
possessed	VBN
and	CC
held	VBN
by	IN
Homer	NNP
.	.

Of	IN
whom	WP
,	,
Ion	NN
,	,
you	PRP
are	VBP
one	CD
,	,
and	CC
are	VBP
possessed	VBN
by	IN
Homer	NNP
;	:
and	CC
when	WRB
any	DT
one	CD
repeats	NNS
the	DT
words	NNS
of	IN
another	DT
poet	NN
you	PRP
go	VBP
to	TO
sleep	VB
,	,
and	CC
know	VB
not	RB
what	WP
to	TO
say	VB
;	:
but	CC
when	WRB
any	DT
one	NN
recites	VBZ
a	DT
strain	NN
of	IN
Homer	NNP
you	PRP
wake	VBP
up	RP
in	IN
a	DT
moment	NN
,	,
and	CC
your	PRP$
soul	NN
leaps	VBZ
within	IN
you	PRP
,	,
and	CC
you	PRP
have	VBP
plenty	NN
to	TO
say	VB
;	:
for	IN
not	RB
by	IN
art	NN
or	CC
knowledge	NN
about	IN
Homer	NNP
do	VBP
you	PRP
say	VB
what	WP
you	PRP
say	VBP
,	,
but	CC
by	IN
divine	JJ
inspiration	NN
and	CC
by	IN
possession	NN
;	:
just	RB
as	IN
the	DT
Corybantian	JJ
revellers	NNS
too	RB
have	VBP
a	DT
quick	JJ
perception	NN
of	IN
that	DT
strain	NN
only	RB
which	WDT
is	VBZ
appropriated	VBN
to	TO
the	DT
God	NNP
by	IN
whom	WP
they	PRP
are	VBP
possessed	VBN
,	,
and	CC
have	VBP
plenty	NN
of	IN
dances	NNS
and	CC
words	NNS
for	IN
that	DT
,	,
but	CC
take	VB
no	DT
heed	VB
of	IN
any	DT
other	JJ
.	.

And	CC
you	PRP
,	,
Ion	NN
,	,
when	WRB
the	DT
name	NN
of	IN
Homer	NNP
is	VBZ
mentioned	VBN
have	VBP
plenty	NN
to	TO
say	VB
,	,
and	CC
have	VBP
nothing	NN
to	TO
say	VB
of	IN
others	NNS
.	.

You	PRP
ask	VBP
,	,
`	``
Why	WRB
is	VBZ
this	DT
?	.
'	''

The	DT
answer	NN
is	VBZ
that	IN
you	PRP
praise	VBP
Homer	NNP
not	RB
by	IN
art	NN
but	CC
by	IN
divine	JJ
inspiration	NN
.	.

I	PRP
should	MD
like	VB
very	RB
much	RB
to	TO
hear	VB
you	PRP
,	,
but	CC
not	RB
until	IN
you	PRP
have	VBP
answered	VBN
a	DT
question	NN
which	WDT
I	PRP
have	VBP
to	TO
ask	VB
.	.

On	IN
what	WDT
part	NN
of	IN
Homer	NNP
do	VBP
you	PRP
speak	VB
well	RB
?	.

--	:
not	RB
surely	RB
about	IN
every	DT
part	NN
.	.

Surely	RB
not	RB
about	IN
things	NNS
in	IN
Homer	NNP
of	IN
which	WDT
you	PRP
have	VBP
no	DT
knowledge	NN
?	.

Why	WRB
,	,
does	VBZ
not	RB
Homer	NNP
speak	VB
in	IN
many	JJ
passages	NNS
about	IN
arts	NNS
?	.

For	IN
example	NN
,	,
about	IN
driving	NN
;	:
if	IN
I	PRP
can	MD
only	RB
remember	VB
the	DT
lines	NNS
I	PRP
will	MD
repeat	VB
them	PRP
.	.

Tell	VB
me	PRP
then	RB
,	,
what	WP
Nestor	NNP
says	VBZ
to	TO
Antilochus	NNP
,	,
his	PRP$
son	NN
,	,
where	WRB
he	PRP
bids	VBZ
him	PRP
be	VB
careful	JJ
of	IN
the	DT
turn	NN
at	IN
the	DT
horserace	NN
in	IN
honour	NN
of	IN
Patroclus	NNP
.	.

Enough	NNP
.	.

Now	RB
,	,
Ion	NN
,	,
will	MD
the	DT
charioteer	NN
or	CC
the	DT
physician	NN
be	VB
the	DT
better	JJR
judge	NN
of	IN
the	DT
propriety	NN
of	IN
these	DT
lines	NNS
?	.

And	CC
will	MD
the	DT
reason	NN
be	VB
that	IN
this	DT
is	VBZ
his	PRP$
art	NN
,	,
or	CC
will	MD
there	RB
be	VB
any	DT
other	JJ
reason	NN
?	.

And	CC
every	DT
art	NN
is	VBZ
appointed	VBN
by	IN
God	NNP
to	TO
have	VB
knowledge	NN
of	IN
a	DT
certain	JJ
work	NN
;	:
for	IN
that	DT
which	WDT
we	PRP
know	VBP
by	IN
the	DT
art	NN
of	IN
the	DT
pilot	NN
we	PRP
do	VBP
not	RB
know	VB
by	IN
the	DT
art	NN
of	IN
medicine	NN
?	.

Nor	CC
do	VBP
we	PRP
know	VB
by	IN
the	DT
art	NN
of	IN
the	DT
carpenter	NN
that	IN
which	WDT
we	PRP
know	VBP
by	IN
the	DT
art	NN
of	IN
medicine	NN
?	.

And	CC
this	DT
is	VBZ
true	JJ
of	IN
all	PDT
the	DT
arts	NNS
;	:
--	:
that	IN
which	WDT
we	PRP
know	VBP
with	IN
one	CD
art	NN
we	PRP
do	VBP
not	RB
know	VB
with	IN
the	DT
other	JJ
?	.

But	CC
let	VB
me	PRP
ask	VB
a	DT
prior	JJ
question	NN
:	:
You	PRP
admit	VBP
that	IN
there	EX
are	VBP
differences	NNS
of	IN
arts	NNS
?	.

You	PRP
would	MD
argue	VB
,	,
as	IN
I	PRP
should	MD
,	,
that	IN
when	WRB
one	CD
art	NN
is	VBZ
of	IN
one	CD
kind	NN
of	IN
knowledge	NN
and	CC
another	DT
of	IN
another	DT
,	,
they	PRP
are	VBP
different	JJ
?	.

Yes	UH
,	,
surely	RB
;	:
for	IN
if	IN
the	DT
subject	NN
of	IN
knowledge	NN
were	VBD
the	DT
same	JJ
,	,
there	EX
would	MD
be	VB
no	DT
meaning	NN
in	IN
saying	VBG
that	IN
the	DT
arts	NNS
were	VBD
different	JJ
,	,
--	:
if	IN
they	PRP
both	DT
gave	VBD
the	DT
same	JJ
knowledge	NN
.	.

For	IN
example	NN
,	,
I	PRP
know	VBP
that	IN
here	RB
are	VBP
five	CD
fingers	NNS
,	,
and	CC
you	PRP
know	VBP
the	DT
same	JJ
.	.

And	CC
if	IN
I	PRP
were	VBD
to	TO
ask	VB
whether	IN
I	PRP
and	CC
you	PRP
became	VBD
acquainted	VBN
with	IN
this	DT
fact	NN
by	IN
the	DT
help	NN
of	IN
the	DT
same	JJ
art	NN
of	IN
arithmetic	NN
,	,
you	PRP
would	MD
acknowledge	VB
that	IN
we	PRP
did	VBD
?	.

Tell	VB
me	PRP
,	,
then	RB
,	,
what	WP
I	PRP
was	VBD
intending	VBG
to	TO
ask	VB
you	PRP
,	,
--	:
whether	IN
this	DT
holds	VBZ
universally	RB
?	.

Must	MD
the	DT
same	JJ
art	NN
have	VBP
the	DT
same	JJ
subject	NN
of	IN
knowledge	NN
,	,
and	CC
different	JJ
arts	NNS
other	JJ
subjects	NNS
of	IN
knowledge	NN
?	.

Then	RB
he	PRP
who	WP
has	VBZ
no	DT
knowledge	NN
of	IN
a	DT
particular	JJ
art	NN
will	MD
have	VB
no	DT
right	JJ
judgment	NN
of	IN
the	DT
sayings	NNS
and	CC
doings	NNS
of	IN
that	DT
art	NN
?	.

Then	RB
which	WDT
will	MD
be	VB
a	DT
better	JJR
judge	NN
of	IN
the	DT
lines	NNS
which	WDT
you	PRP
were	VBD
reciting	VBG
from	IN
Homer	NNP
,	,
you	PRP
or	CC
the	DT
charioteer	NN
?	.

Why	WRB
,	,
yes	UH
,	,
because	IN
you	PRP
are	VBP
a	DT
rhapsode	NN
and	CC
not	RB
a	DT
charioteer	NN
.	.

And	CC
the	DT
art	NN
of	IN
the	DT
rhapsode	NN
is	VBZ
different	JJ
from	IN
that	DT
of	IN
the	DT
charioteer	NN
?	.

And	CC
if	IN
a	DT
different	JJ
knowledge	NN
,	,
then	RB
a	DT
knowledge	NN
of	IN
different	JJ
matters	NNS
?	.

You	PRP
know	VBP
the	DT
passage	NN
in	IN
which	WDT
Hecamede	NNP
,	,
the	DT
concubine	NN
of	IN
Nestor	NNP
,	,
is	VBZ
described	VBN
as	IN
giving	VBG
to	TO
the	DT
wounded	VBN
Machaon	NNP
a	DT
posset	NN
,	,
as	IN
he	PRP
says	VBZ
,	,
And	CC
when	WRB
Homer	NNP
says	VBZ
,	,
Come	VB
now	RB
,	,
suppose	VBP
that	IN
you	PRP
were	VBD
to	TO
say	VB
to	TO
me	PRP
:	:
`	``
Since	IN
you	PRP
,	,
Socrates	NNP
,	,
are	VBP
able	JJ
to	TO
assign	VB
different	JJ
passages	NNS
in	IN
Homer	NNP
to	TO
their	PRP$
corresponding	JJ
arts	NNS
,	,
I	PRP
wish	VBP
that	IN
you	PRP
would	MD
tell	VB
me	PRP
what	WP
are	VBP
the	DT
passages	NNS
of	IN
which	WDT
the	DT
excellence	NN
ought	MD
to	TO
be	VB
judged	VBN
by	IN
the	DT
prophet	NN
and	CC
prophetic	JJ
art	NN
'	''
;	:
and	CC
you	PRP
will	MD
see	VB
how	WRB
readily	RB
and	CC
truly	RB
I	PRP
shall	MD
answer	VB
you	PRP
.	.

For	IN
there	EX
are	VBP
many	JJ
such	JJ
passages	NNS
,	,
particularly	RB
in	IN
the	DT
Odyssee	NNP
;	:
as	IN
,	,
for	IN
example	NN
,	,
the	DT
passage	NN
in	IN
which	WDT
Theoclymenus	NNP
the	DT
prophet	NN
of	IN
the	DT
house	NN
of	IN
Melampus	NNP
says	VBZ
to	TO
the	DT
suitors	NNS
:	:
--	:
Yes	NNP
,	,
Ion	NNP
,	,
and	CC
you	PRP
are	VBP
right	RB
also	RB
.	.

And	CC
as	IN
I	PRP
have	VBP
selected	VBN
from	IN
the	DT
Iliad	NNP
and	CC
Odyssee	NNP
for	IN
you	PRP
passages	NNS
which	WDT
describe	VBP
the	DT
office	NN
of	IN
the	DT
prophet	NN
and	CC
the	DT
physician	NN
and	CC
the	DT
fisherman	NN
,	,
do	VB
you	PRP
,	,
who	WP
know	VBP
Homer	NNP
so	RB
much	RB
better	JJR
than	IN
I	PRP
do	VBP
,	,
Ion	NNP
,	,
select	JJ
for	IN
me	PRP
passages	NNS
which	WDT
relate	VBP
to	TO
the	DT
rhapsode	NN
and	CC
the	DT
rhapsode	NN
's	POS
art	NN
,	,
and	CC
which	WDT
the	DT
rhapsode	NN
ought	MD
to	TO
examine	VB
and	CC
judge	NN
of	IN
better	JJR
than	IN
other	JJ
men	NNS
.	.

Not	RB
all	DT
,	,
Ion	NNP
,	,
surely	RB
.	.

Have	VBP
you	PRP
already	RB
forgotten	VBD
what	WP
you	PRP
were	VBD
saying	VBG
?	.

A	DT
rhapsode	NN
ought	MD
to	TO
have	VB
a	DT
better	JJR
memory	NN
.	.

Do	VBP
you	PRP
not	RB
remember	VB
that	IN
you	PRP
declared	VBD
the	DT
art	NN
of	IN
the	DT
rhapsode	NN
to	TO
be	VB
different	JJ
from	IN
the	DT
art	NN
of	IN
the	DT
charioteer	NN
?	.

And	CC
you	PRP
admitted	VBD
that	IN
being	VBG
different	JJ
they	PRP
would	MD
have	VB
different	JJ
subjects	NNS
of	IN
knowledge	NN
?	.

Then	RB
upon	IN
your	PRP$
own	JJ
showing	VBG
the	DT
rhapsode	NN
,	,
and	CC
the	DT
art	NN
of	IN
the	DT
rhapsode	NN
,	,
will	MD
not	RB
know	VB
everything	NN
?	.

You	PRP
mean	VBP
to	TO
say	VB
that	IN
you	PRP
would	MD
exclude	VB
pretty	RB
much	RB
the	DT
subjects	NNS
of	IN
the	DT
other	JJ
arts	NNS
.	.

As	IN
he	PRP
does	VBZ
not	RB
know	VB
all	DT
of	IN
them	PRP
,	,
which	WDT
of	IN
them	PRP
will	MD
he	PRP
know	VB
?	.

Do	VBP
you	PRP
mean	VB
that	IN
a	DT
rhapsode	NN
will	MD
know	VB
better	JJR
than	IN
the	DT
pilot	NN
what	WP
the	DT
ruler	NN
of	IN
a	DT
sea-tossed	JJ
vessel	NN
ought	MD
to	TO
say	VB
?	.

Or	CC
will	MD
the	DT
rhapsode	NN
know	VB
better	JJR
than	IN
the	DT
physician	NN
what	WP
the	DT
ruler	NN
of	IN
a	DT
sick	JJ
man	NN
ought	MD
to	TO
say	VB
?	.

But	CC
he	PRP
will	MD
know	VB
what	WP
a	DT
slave	NN
ought	MD
to	TO
say	VB
?	.

Suppose	VB
the	DT
slave	NN
to	TO
be	VB
a	DT
cowherd	NN
;	:
the	DT
rhapsode	NN
will	MD
know	VB
better	JJR
than	IN
the	DT
cowherd	NN
what	WP
he	PRP
ought	MD
to	TO
say	VB
in	IN
order	NN
to	TO
soothe	VB
the	DT
infuriated	VBN
cows	NNS
?	.

But	CC
he	PRP
will	MD
know	VB
what	WP
a	DT
spinning-woman	NN
ought	MD
to	TO
say	VB
about	IN
the	DT
working	NN
of	IN
wool	NN
?	.

At	IN
any	DT
rate	NN
he	PRP
will	MD
know	VB
what	WP
a	DT
general	NN
ought	MD
to	TO
say	VB
when	WRB
exhorting	VBG
his	PRP$
soldiers	NNS
?	.

Well	RB
,	,
but	CC
is	VBZ
the	DT
art	NN
of	IN
the	DT
rhapsode	NN
the	DT
art	NN
of	IN
the	DT
general	NN
?	.

Why	WRB
,	,
yes	UH
,	,
Ion	NN
,	,
because	IN
you	PRP
may	MD
possibly	RB
have	VB
a	DT
knowledge	NN
of	IN
the	DT
art	NN
of	IN
the	DT
general	NN
as	RB
well	RB
as	IN
of	IN
the	DT
rhapsode	NN
;	:
and	CC
you	PRP
may	MD
also	RB
have	VB
a	DT
knowledge	NN
of	IN
horsemanship	NN
as	RB
well	RB
as	IN
of	IN
the	DT
lyre	NN
:	:
and	CC
then	RB
you	PRP
would	MD
know	VB
when	WRB
horses	NNS
were	VBD
well	RB
or	CC
ill	RB
managed	VBN
.	.

But	CC
suppose	VB
I	PRP
were	VBD
to	TO
ask	VB
you	PRP
:	:
By	IN
the	DT
help	NN
of	IN
which	WDT
art	NN
,	,
Ion	NN
,	,
do	VBP
you	PRP
know	VB
whether	IN
horses	NNS
are	VBP
well	RB
managed	VBN
,	,
by	IN
your	PRP$
skill	NN
as	IN
a	DT
horseman	NN
or	CC
as	IN
a	DT
performer	NN
on	IN
the	DT
lyre	NN
--	:
what	WP
would	MD
you	PRP
answer	VB
?	.

And	CC
if	IN
you	PRP
judged	VBD
of	IN
performers	NNS
on	IN
the	DT
lyre	NN
,	,
you	PRP
would	MD
admit	VB
that	IN
you	PRP
judged	VBD
of	IN
them	PRP
as	IN
a	DT
performer	NN
on	IN
the	DT
lyre	NN
,	,
and	CC
not	RB
as	IN
a	DT
horseman	NN
?	.

And	CC
in	IN
judging	VBG
of	IN
the	DT
general	NN
's	POS
art	NN
,	,
do	VBP
you	PRP
judge	VB
of	IN
it	PRP
as	IN
a	DT
general	JJ
or	CC
a	DT
rhapsode	NN
?	.

What	WP
do	VBP
you	PRP
mean	VB
?	.

Do	VBP
you	PRP
mean	VB
to	TO
say	VB
that	IN
the	DT
art	NN
of	IN
the	DT
rhapsode	NN
and	CC
of	IN
the	DT
general	NN
is	VBZ
the	DT
same	JJ
?	.

Then	RB
he	PRP
who	WP
is	VBZ
a	DT
good	JJ
rhapsode	NN
is	VBZ
also	RB
a	DT
good	JJ
general	NN
?	.

And	CC
he	PRP
who	WP
is	VBZ
a	DT
good	JJ
general	NN
is	VBZ
also	RB
a	DT
good	JJ
rhapsode	NN
?	.

But	CC
you	PRP
do	VBP
say	VB
that	IN
he	PRP
who	WP
is	VBZ
a	DT
good	JJ
rhapsode	NN
is	VBZ
also	RB
a	DT
good	JJ
general	NN
.	.

And	CC
you	PRP
are	VBP
the	DT
best	JJS
of	IN
Hellenic	JJ
rhapsodes	NNS
?	.

And	CC
are	VBP
you	PRP
the	DT
best	JJS
general	NN
,	,
Ion	NN
?	.

But	CC
then	RB
,	,
Ion	NN
,	,
what	WP
in	IN
the	DT
name	NN
of	IN
goodness	NN
can	MD
be	VB
the	DT
reason	NN
why	WRB
you	PRP
,	,
who	WP
are	VBP
the	DT
best	JJS
of	IN
generals	NNS
as	RB
well	RB
as	IN
the	DT
best	JJS
of	IN
rhapsodes	NNS
in	IN
all	DT
Hellas	NNP
,	,
go	VBP
about	IN
as	IN
a	DT
rhapsode	NN
when	WRB
you	PRP
might	MD
be	VB
a	DT
general	NN
?	.

Do	VBP
you	PRP
think	VB
that	IN
the	DT
Hellenes	NNPS
want	VBP
a	DT
rhapsode	NN
with	IN
his	PRP$
golden	JJ
crown	NN
,	,
and	CC
do	VBP
not	RB
want	VB
a	DT
general	NN
?	.

My	PRP$
good	JJ
Ion	NN
,	,
did	VBD
you	PRP
never	RB
hear	VB
of	IN
Apollodorus	NNP
of	IN
Cyzicus	NNP
?	.

One	CD
who	WP
,	,
though	IN
a	DT
foreigner	NN
,	,
has	VBZ
often	RB
been	VBN
chosen	VBN
their	PRP$
general	NN
by	IN
the	DT
Athenians	NNPS
:	:
and	CC
there	EX
is	VBZ
Phanosthenes	NNP
of	IN
Andros	NNP
,	,
and	CC
Heraclides	NNP
of	IN
Clazomenae	NNP
,	,
whom	WP
they	PRP
have	VBP
also	RB
appointed	VBN
to	TO
the	DT
command	NN
of	IN
their	PRP$
armies	NNS
and	CC
to	TO
other	JJ
offices	NNS
,	,
although	IN
aliens	NNS
,	,
after	IN
they	PRP
had	VBD
shown	VBN
their	PRP$
merit	NN
.	.

And	CC
will	MD
they	PRP
not	RB
choose	VB
Ion	NNP
the	DT
Ephesian	NNP
to	TO
be	VB
their	PRP$
general	JJ
,	,
and	CC
honour	VB
him	PRP
,	,
if	IN
he	PRP
prove	VBP
himself	PRP
worthy	JJ
?	.

Were	VBD
not	RB
the	DT
Ephesians	NNPS
originally	RB
Athenians	NNPS
,	,
and	CC
Ephesus	NNP
is	VBZ
no	DT
mean	JJ
city	NN
?	.

But	CC
,	,
indeed	RB
,	,
Ion	NN
,	,
if	IN
you	PRP
are	VBP
correct	JJ
in	IN
saying	VBG
that	IN
by	IN
art	NN
and	CC
knowledge	NN
you	PRP
are	VBP
able	JJ
to	TO
praise	VB
Homer	NNP
,	,
you	PRP
do	VBP
not	RB
deal	VB
fairly	RB
with	IN
me	PRP
,	,
and	CC
after	IN
all	DT
your	PRP$
professions	NNS
of	IN
knowing	VBG
many	JJ
glorious	JJ
things	NNS
about	IN
Homer	NNP
,	,
and	CC
promises	VBZ
that	IN
you	PRP
would	MD
exhibit	VB
them	PRP
,	,
you	PRP
are	VBP
only	RB
a	DT
deceiver	NN
,	,
and	CC
so	RB
far	RB
from	IN
exhibiting	VBG
the	DT
art	NN
of	IN
which	WDT
you	PRP
are	VBP
a	DT
master	NN
,	,
will	MD
not	RB
,	,
even	RB
after	IN
my	PRP$
repeated	JJ
entreaties	NNS
,	,
explain	VB
to	TO
me	PRP
the	DT
nature	NN
of	IN
it	PRP
.	.

You	PRP
have	VBP
literally	RB
as	IN
many	JJ
forms	NNS
as	IN
Proteus	NNP
;	:
and	CC
now	RB
you	PRP
go	VBP
all	DT
manner	NN
of	IN
ways	NNS
,	,
twisting	VBG
and	CC
turning	VBG
,	,
and	CC
,	,
like	IN
Proteus	NNP
,	,
become	VBP
all	DT
manner	NN
of	IN
people	NNS
at	IN
once	RB
,	,
and	CC
at	IN
last	JJ
slip	NN
away	RB
from	IN
me	PRP
in	IN
the	DT
disguise	VB
of	IN
a	DT
general	JJ
,	,
in	IN
order	NN
that	IN
you	PRP
may	MD
escape	VB
exhibiting	VBG
your	PRP$
Homeric	JJ
lore	NN
.	.

And	CC
if	IN
you	PRP
have	VBP
art	NN
,	,
then	RB
,	,
as	IN
I	PRP
was	VBD
saying	VBG
,	,
in	IN
falsifying	VBG
your	PRP$
promise	NN
that	IN
you	PRP
would	MD
exhibit	VB
Homer	NNP
,	,
you	PRP
are	VBP
not	RB
dealing	VBG
fairly	RB
with	IN
me	PRP
.	.

But	CC
if	IN
,	,
as	IN
I	PRP
believe	VBP
,	,
you	PRP
have	VBP
no	DT
art	NN
,	,
but	CC
speak	VBP
all	DT
these	DT
beautiful	JJ
words	NNS
about	IN
Homer	NNP
unconsciously	RB
under	IN
his	PRP$
inspiring	JJ
influence	NN
,	,
then	RB
I	PRP
acquit	VBP
you	PRP
of	IN
dishonesty	NN
,	,
and	CC
shall	MD
only	RB
say	VB
that	IN
you	PRP
are	VBP
inspired	JJ
.	.

Which	WDT
do	VBP
you	PRP
prefer	VB
to	TO
be	VB
thought	VBN
,	,
dishonest	JJ
or	CC
inspired	JJ
?	.

Then	RB
,	,
Ion	NN
,	,
I	PRP
shall	MD
assume	VB
the	DT
nobler	JJ
alternative	NN
;	:
and	CC
attribute	VBP
to	TO
you	PRP
in	IN
your	PRP$
praises	VBZ
of	IN
Homer	NNP
inspiration	NN
,	,
and	CC
not	RB
art	NN
.	.

